date,Ostseebad_Binz.in,Ostseebad_Binz.out,Bergen_auf_Rügen.in,Bergen_auf_Rügen.out,Stralsund_Hbf.in,Stralsund_Hbf.out,Greifswald.in,Greifswald.out,Ribnitz-Damgarten_West.in,Ribnitz-Damgarten_West.out,Züssow.in,Züssow.out,Anklam.in,Anklam.out,Pasewalk.in,Pasewalk.out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Prenzlau.in,Prenzlau.out,Angermünde.in,Angermünde.out,Eberswalde_Hbf.in,Eberswalde_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out
2024-05-19,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,-1.0,0.0,-1.0
2024-05-18,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,0.0,12.0,11.0,10.0,9.0,8.0,8.0,6.0,2.0,5.0,-1.0,3.0,-1.0
2024-05-17,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,6.0,6.0,5.0,5.0,3.0,4.0,4.0,2.0,4.0,-1.0,4.0,-1.0
2024-05-16,-1.0,0.0,0.0,0.0,19.0,15.0,12.0,11.0,0.0,0.0,9.0,8.0,7.0,5.0,5.0,13.0,0.0,0.0,12.0,12.0,11.0,11.0,11.0,10.0,12.0,9.0,10.0,-1.0,8.0,-1.0
2024-05-15,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-14,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,-1.0,0.0,-1.0
2024-05-13,-1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,5.0,5.0,3.0,3.0,3.0,3.0,-1.0,-1.0,14.0,-1.0,-1.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-11,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,0.0,1.0,-1.0,1.0,-1.0
2024-05-10,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,5.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,-1.0,1.0,-1.0
2024-05-09,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,7.0,1.0,4.0,-1.0,3.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,1.0,-1.0,1.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-05-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,2.0,3.0,1.0,2.0,5.0,2.0,3.0,-1.0,1.0,-1.0
2024-05-04,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,5.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,-1.0,2.0,-1.0
2024-05-03,-1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,5.0,5.0,0.0,0.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,0.0,2.0,-1.0,0.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,-1.0,4.0,-1.0
2024-05-01,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-04-30,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-04-29,-1.0,1.0,37.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-04-28,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,-1.0,0.0,-1.0
2024-04-27,-1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-04-26,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-04-25,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,5.0,6.0,-1.0,2.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-04-23,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,8.0,-1.0,4.0,-1.0
2024-04-22,-1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0
2024-04-21,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,5.0,-1.0
2024-04-20,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,8.0,8.0,7.0,7.0,6.0,7.0,6.0,3.0,4.0,-1.0,2.0,-1.0
2024-04-19,-1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,5.0,-1.0,4.0,-1.0
2024-04-18,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,-1.0,0.0,-1.0
2024-04-17,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,4.0,4.0,0.0,0.0,4.0,6.0,5.0,6.0,5.0,4.0,3.0,3.0,2.0,-1.0,1.0,-1.0
2024-04-15,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,7.0,0.0,0.0,7.0,7.0,6.0,6.0,4.0,4.0,3.0,0.0,1.0,-1.0,0.0,-1.0
2024-04-14,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,4.0,3.0,2.0,2.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-04-13,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,6.0,5.0,5.0,5.0,4.0,4.0,2.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,-1.0,1.0,-1.0
2024-04-11,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,-1.0,4.0,-1.0
2024-04-10,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,-1.0
2024-04-09,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,-1.0,1.0,-1.0
2024-04-08,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,5.0,0.0,0.0,5.0,5.0,4.0,4.0,2.0,2.0,4.0,1.0,4.0,-1.0,1.0,-1.0
2024-04-07,-1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-04-06,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0
2024-04-05,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,-1.0,1.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,8.0,1.0,5.0,-1.0,5.0,-1.0
2024-04-03,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,-1.0,1.0,-1.0
2024-04-02,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0
