date,Oberstdorf.in,Oberstdorf.out,Fischen.in,Fischen.out,Sonthofen.in,Sonthofen.out,Immenstadt.in,Immenstadt.out,Kempten(Allgäu)Hbf.in,Kempten(Allgäu)Hbf.out,Kaufbeuren.in,Kaufbeuren.out,Buchloe.in,Buchloe.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Donauwörth.in,Donauwörth.out,Treuchtlingen.in,Treuchtlingen.out,Ansbach.in,Ansbach.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Celle.in,Celle.out,Uelzen.in,Uelzen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-18,-1.0,7.0,7.0,6.0,10.0,10.0,11.0,13.0,13.0,14.0,13.0,14.0,13.0,8.0,10.0,22.0,25.0,27.0,22.0,23.0,16.0,17.0,14.0,14.0,11.0,11.0,9.0,25.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,12.0,10.0,10.0,15.0,14.0,19.0,18.0,18.0,-1.0
2024-05-17,-1.0,3.0,4.0,4.0,8.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,2.0,1.0,1.0,8.0,10.0,6.0,6.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,5.0,6.0,5.0,7.0,-1.0
2024-05-16,-1.0,1.0,2.0,1.0,4.0,3.0,8.0,8.0,7.0,8.0,4.0,6.0,3.0,3.0,4.0,10.0,9.0,13.0,7.0,8.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,1.0,8.0,7.0,5.0,8.0,6.0,7.0,0.0,1.0,1.0,2.0,2.0,4.0,7.0,7.0,7.0,7.0,7.0,-1.0
2024-05-15,-1.0,6.0,5.0,5.0,9.0,8.0,6.0,6.0,5.0,5.0,2.0,2.0,1.0,3.0,2.0,26.0,32.0,33.0,28.0,29.0,23.0,23.0,28.0,29.0,26.0,26.0,21.0,22.0,18.0,16.0,16.0,15.0,13.0,14.0,6.0,7.0,2.0,2.0,1.0,1.0,5.0,5.0,4.0,3.0,2.0,-1.0
2024-05-14,-1.0,5.0,5.0,4.0,7.0,7.0,64.0,115.0,117.0,118.0,125.0,126.0,124.0,118.0,113.0,123.0,125.0,127.0,123.0,124.0,117.0,117.0,120.0,119.0,124.0,127.0,123.0,123.0,124.0,123.0,121.0,132.0,131.0,131.0,124.0,125.0,99.0,98.0,124.0,123.0,129.0,128.0,-1.0,74.0,-1.0,-1.0
2024-05-12,-1.0,2.0,3.0,2.0,5.0,5.0,9.0,8.0,6.0,6.0,4.0,5.0,3.0,3.0,1.0,5.0,7.0,8.0,5.0,5.0,2.0,1.0,2.0,7.0,14.0,15.0,13.0,15.0,9.0,6.0,8.0,7.0,10.0,11.0,4.0,3.0,0.0,0.0,2.0,2.0,3.0,3.0,6.0,6.0,5.0,-1.0
2024-05-11,-1.0,6.0,6.0,5.0,8.0,10.0,9.0,14.0,13.0,14.0,12.0,13.0,11.0,6.0,1.0,15.0,18.0,18.0,14.0,16.0,-1.0,-1.0,20.0,20.0,19.0,18.0,13.0,13.0,15.0,12.0,13.0,20.0,29.0,30.0,23.0,24.0,20.0,20.0,18.0,16.0,24.0,23.0,29.0,30.0,29.0,-1.0
2024-05-10,-1.0,3.0,3.0,3.0,6.0,5.0,2.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,8.0,14.0,16.0,11.0,12.0,3.0,3.0,5.0,4.0,5.0,4.0,1.0,5.0,11.0,9.0,4.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,3.0,3.0,-1.0
2024-05-09,-1.0,3.0,3.0,3.0,6.0,6.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,17.0,24.0,25.0,23.0,24.0,27.0,28.0,26.0,26.0,22.0,23.0,19.0,20.0,14.0,16.0,15.0,15.0,13.0,13.0,8.0,8.0,4.0,4.0,7.0,6.0,9.0,8.0,7.0,-1.0
2024-05-08,-1.0,1.0,2.0,1.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0,2.0,2.0,3.0,2.0,7.0,6.0,6.0,5.0,0.0,2.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,-1.0
2024-05-07,-1.0,1.0,1.0,0.0,3.0,3.0,4.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,64.0,70.0,71.0,66.0,67.0,71.0,72.0,73.0,72.0,70.0,71.0,67.0,68.0,65.0,64.0,59.0,58.0,60.0,61.0,55.0,57.0,54.0,55.0,52.0,55.0,59.0,57.0,-1.0,36.0,-1.0,-1.0
2024-05-06,-1.0,2.0,2.0,1.0,4.0,4.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,6.0,7.0,3.0,7.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,6.0,5.0,7.0,5.0,7.0,-1.0
2024-05-05,-1.0,3.0,4.0,3.0,6.0,6.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,1.0,2.0,19.0,24.0,22.0,20.0,21.0,26.0,27.0,20.0,19.0,15.0,15.0,14.0,13.0,17.0,17.0,16.0,16.0,21.0,-1.0
2024-05-04,-1.0,3.0,3.0,3.0,6.0,6.0,4.0,4.0,9.0,9.0,7.0,8.0,7.0,1.0,1.0,4.0,6.0,8.0,3.0,3.0,0.0,0.0,1.0,5.0,3.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,9.0,8.0,9.0,8.0,8.0,-1.0
2024-05-03,-1.0,3.0,4.0,3.0,6.0,5.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,43.0,52.0,54.0,51.0,52.0,46.0,47.0,51.0,52.0,54.0,58.0,54.0,54.0,61.0,59.0,59.0,63.0,62.0,64.0,56.0,57.0,54.0,54.0,49.0,50.0,51.0,51.0,-1.0,51.0,-1.0,-1.0
2024-05-02,-1.0,4.0,4.0,3.0,6.0,7.0,4.0,2.0,10.0,10.0,-1.0,-1.0,24.0,18.0,20.0,30.0,35.0,36.0,31.0,32.0,24.0,24.0,24.0,24.0,24.0,25.0,21.0,23.0,40.0,54.0,65.0,64.0,63.0,64.0,57.0,57.0,53.0,54.0,50.0,49.0,52.0,51.0,56.0,55.0,56.0,-1.0
2024-05-01,-1.0,4.0,5.0,4.0,8.0,8.0,5.0,8.0,6.0,7.0,5.0,6.0,5.0,1.0,0.0,42.0,44.0,46.0,42.0,43.0,35.0,36.0,44.0,44.0,46.0,46.0,48.0,49.0,45.0,44.0,40.0,40.0,38.0,39.0,35.0,36.0,32.0,31.0,28.0,27.0,31.0,31.0,30.0,30.0,30.0,-1.0
2024-04-30,-1.0,6.0,7.0,7.0,11.0,10.0,8.0,0.0,1.0,5.0,3.0,4.0,2.0,2.0,2.0,8.0,11.0,12.0,7.0,8.0,0.0,1.0,4.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,-1.0
2024-04-28,-1.0,2.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,20.0,14.0,15.0,9.0,10.0,9.0,8.0,8.0,7.0,4.0,6.0,5.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,8.0,13.0,13.0,13.0,13.0,-1.0
2024-04-27,-1.0,5.0,5.0,4.0,6.0,6.0,4.0,4.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,5.0,7.0,8.0,7.0,8.0,1.0,2.0,5.0,4.0,19.0,18.0,14.0,15.0,15.0,12.0,12.0,12.0,9.0,10.0,3.0,2.0,1.0,2.0,1.0,0.0,4.0,4.0,7.0,6.0,6.0,-1.0
2024-04-26,-1.0,2.0,2.0,2.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,7.0,9.0,8.0,8.0,6.0,5.0,6.0,5.0,5.0,5.0,0.0,2.0,5.0,4.0,1.0,9.0,15.0,22.0,17.0,70.0,69.0,70.0,73.0,72.0,-1.0,65.0,-1.0,65.0,-1.0,-1.0
2024-04-25,-1.0,6.0,8.0,7.0,10.0,10.0,8.0,8.0,7.0,8.0,6.0,7.0,6.0,3.0,3.0,20.0,24.0,25.0,24.0,23.0,14.0,14.0,12.0,11.0,10.0,9.0,5.0,5.0,4.0,0.0,3.0,4.0,11.0,12.0,5.0,21.0,16.0,16.0,16.0,15.0,29.0,29.0,36.0,35.0,36.0,-1.0
2024-04-24,-1.0,2.0,3.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,17.0,18.0,19.0,17.0,20.0,13.0,14.0,17.0,20.0,18.0,20.0,16.0,17.0,13.0,11.0,17.0,16.0,16.0,18.0,12.0,12.0,8.0,8.0,8.0,7.0,10.0,10.0,14.0,13.0,16.0,-1.0
2024-04-23,-1.0,5.0,6.0,5.0,7.0,6.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,6.0,7.0,8.0,5.0,5.0,0.0,1.0,7.0,7.0,10.0,9.0,4.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,6.0,16.0,16.0,18.0,16.0,18.0,-1.0
2024-04-22,-1.0,2.0,3.0,2.0,6.0,5.0,5.0,5.0,7.0,7.0,5.0,6.0,5.0,2.0,5.0,10.0,18.0,18.0,18.0,18.0,11.0,11.0,9.0,11.0,13.0,11.0,9.0,9.0,6.0,5.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,7.0,5.0,8.0,8.0,11.0,10.0,9.0,-1.0
2024-04-21,-1.0,2.0,3.0,3.0,5.0,5.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,9.0,9.0,12.0,35.0,37.0,36.0,42.0,-1.0
2024-04-20,-1.0,3.0,4.0,3.0,7.0,6.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,2.0,2.0,3.0,4.0,26.0,27.0,23.0,23.0,33.0,32.0,34.0,35.0,34.0,34.0,30.0,28.0,25.0,24.0,25.0,26.0,20.0,21.0,16.0,17.0,15.0,15.0,19.0,19.0,27.0,27.0,30.0,-1.0
2024-04-19,-1.0,2.0,2.0,1.0,6.0,6.0,5.0,5.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,9.0,14.0,15.0,14.0,14.0,8.0,9.0,21.0,22.0,22.0,22.0,19.0,20.0,18.0,16.0,15.0,15.0,14.0,15.0,11.0,12.0,8.0,9.0,10.0,10.0,16.0,14.0,17.0,15.0,18.0,-1.0
2024-04-18,-1.0,6.0,7.0,7.0,10.0,9.0,7.0,7.0,6.0,7.0,5.0,6.0,6.0,1.0,4.0,6.0,8.0,8.0,12.0,12.0,6.0,11.0,24.0,26.0,24.0,23.0,23.0,23.0,21.0,18.0,16.0,16.0,14.0,14.0,8.0,7.0,2.0,2.0,3.0,3.0,7.0,6.0,5.0,5.0,4.0,-1.0
2024-04-17,-1.0,2.0,3.0,3.0,6.0,6.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,4.0,19.0,22.0,23.0,23.0,23.0,21.0,21.0,24.0,23.0,22.0,23.0,19.0,20.0,20.0,17.0,18.0,17.0,24.0,24.0,17.0,16.0,18.0,18.0,17.0,18.0,20.0,19.0,23.0,22.0,22.0,-1.0
2024-04-16,-1.0,4.0,12.0,11.0,14.0,14.0,12.0,13.0,12.0,13.0,10.0,11.0,9.0,4.0,5.0,10.0,16.0,16.0,23.0,23.0,19.0,19.0,24.0,24.0,24.0,33.0,34.0,35.0,51.0,49.0,48.0,47.0,48.0,49.0,45.0,46.0,42.0,42.0,42.0,42.0,44.0,44.0,44.0,43.0,45.0,-1.0
2024-04-15,-1.0,0.0,6.0,5.0,9.0,9.0,7.0,7.0,4.0,4.0,12.0,13.0,12.0,5.0,10.0,12.0,15.0,19.0,20.0,20.0,13.0,13.0,18.0,20.0,19.0,20.0,12.0,16.0,12.0,10.0,7.0,6.0,5.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,9.0,8.0,8.0,7.0,10.0,-1.0
2024-04-13,-1.0,6.0,7.0,7.0,10.0,10.0,8.0,9.0,13.0,14.0,22.0,23.0,21.0,16.0,20.0,21.0,24.0,26.0,24.0,24.0,23.0,23.0,23.0,22.0,26.0,25.0,20.0,21.0,23.0,20.0,19.0,18.0,17.0,18.0,10.0,10.0,6.0,6.0,3.0,2.0,5.0,6.0,6.0,5.0,4.0,-1.0
2024-04-12,-1.0,3.0,4.0,3.0,6.0,5.0,6.0,8.0,7.0,8.0,7.0,8.0,6.0,2.0,2.0,10.0,16.0,18.0,19.0,20.0,16.0,16.0,20.0,21.0,30.0,32.0,30.0,36.0,38.0,36.0,32.0,39.0,37.0,38.0,33.0,33.0,29.0,30.0,27.0,26.0,30.0,30.0,30.0,29.0,28.0,-1.0
2024-04-11,-1.0,8.0,9.0,8.0,15.0,15.0,12.0,8.0,7.0,8.0,6.0,6.0,6.0,0.0,0.0,24.0,27.0,28.0,26.0,26.0,19.0,19.0,24.0,24.0,21.0,21.0,17.0,19.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,-1.0,21.0,-1.0,21.0,-1.0,-1.0
2024-04-10,-1.0,5.0,5.0,5.0,8.0,8.0,6.0,13.0,10.0,11.0,9.0,10.0,10.0,5.0,2.0,8.0,10.0,10.0,8.0,9.0,2.0,2.0,4.0,5.0,6.0,6.0,1.0,2.0,5.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,3.0,2.0,-1.0
2024-04-09,-1.0,2.0,4.0,3.0,7.0,7.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,5.0,9.0,8.0,7.0,7.0,1.0,2.0,1.0,4.0,6.0,6.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,-1.0
2024-04-08,-1.0,6.0,7.0,6.0,10.0,9.0,8.0,6.0,4.0,3.0,5.0,6.0,4.0,1.0,1.0,6.0,12.0,12.0,11.0,11.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,6.0,35.0,34.0,38.0,39.0,38.0,40.0,34.0,33.0,30.0,30.0,34.0,33.0,37.0,38.0,37.0,40.0,42.0,-1.0
2024-04-07,-1.0,4.0,4.0,3.0,6.0,5.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,14.0,17.0,22.0,23.0,21.0,22.0,24.0,25.0,26.0,26.0,24.0,25.0,21.0,22.0,18.0,17.0,16.0,16.0,15.0,15.0,9.0,9.0,5.0,4.0,3.0,2.0,8.0,7.0,12.0,11.0,19.0,-1.0
2024-04-06,-1.0,3.0,3.0,3.0,6.0,5.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,11.0,17.0,20.0,19.0,19.0,19.0,11.0,11.0,8.0,7.0,6.0,8.0,3.0,4.0,5.0,3.0,1.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,3.0,6.0,7.0,6.0,6.0,5.0,-1.0
2024-04-05,-1.0,2.0,3.0,3.0,5.0,5.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,15.0,24.0,27.0,28.0,25.0,25.0,21.0,21.0,30.0,31.0,28.0,29.0,25.0,26.0,23.0,21.0,17.0,17.0,15.0,16.0,8.0,7.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,-1.0
2024-04-04,-1.0,6.0,7.0,6.0,9.0,8.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,12.0,23.0,25.0,25.0,24.0,25.0,19.0,19.0,27.0,26.0,26.0,25.0,21.0,22.0,21.0,19.0,16.0,15.0,14.0,15.0,8.0,9.0,4.0,4.0,1.0,1.0,6.0,6.0,5.0,4.0,4.0,-1.0
2024-04-03,-1.0,3.0,4.0,4.0,7.0,7.0,5.0,5.0,6.0,6.0,4.0,4.0,3.0,1.0,15.0,20.0,21.0,22.0,20.0,20.0,14.0,13.0,16.0,16.0,21.0,20.0,18.0,19.0,16.0,14.0,10.0,9.0,8.0,9.0,1.0,1.0,1.0,1.0,2.0,0.0,6.0,4.0,6.0,4.0,4.0,-1.0
2024-04-02,-1.0,6.0,7.0,7.0,10.0,9.0,6.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,11.0,15.0,22.0,23.0,22.0,22.0,16.0,17.0,20.0,18.0,21.0,22.0,18.0,19.0,16.0,14.0,11.0,11.0,10.0,11.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,5.0,4.0,-1.0
2024-04-01,-1.0,6.0,6.0,5.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,6.0,5.0,5.0,17.0,23.0,25.0,27.0,25.0,25.0,23.0,23.0,26.0,26.0,24.0,25.0,21.0,24.0,21.0,18.0,16.0,17.0,15.0,16.0,9.0,8.0,4.0,4.0,1.0,0.0,2.0,3.0,3.0,6.0,7.0,-1.0
